Index,Year,Time
0,1897,02:55:10
0,1898,02:42:00
0,1899,02:54:38
0,1900,02:39:44
0,1901,02:29:23
0,1902,02:43:12
0,1903,02:41:29
0,1904,02:38:04
0,1905,02:38:25
0,1906,02:45:45
0,1907,02:24:24
0,1908,02:25:43
0,1909,02:53:36
0,1910,02:28:52
0,1911,02:21:39
0,1912,02:21:18
0,1913,02:25:14
0,1914,02:25:14
0,1915,02:31:41
0,1916,02:27:16
0,1917,02:28:37
0,1918,02:29:53
0,1919,02:29:13
0,1920,02:29:31
0,1921,02:18:57
0,1922,02:18:10
0,1923,02:23:47
0,1924,02:29:40
0,1925,02:33:00
0,1926,02:25:40
0,1927,02:40:22
0,1928,02:37:07
0,1929,02:33:08
0,1930,02:34:48
0,1931,02:46:45
0,1932,02:33:36
0,1933,02:31:01
0,1934,02:32:53
0,1935,02:32:07
0,1936,02:33:40
0,1937,02:33:20
0,1938,02:35:34
0,1939,02:28:51
0,1940,02:28:28
0,1941,02:30:38
0,1942,02:26:51
0,1943,02:28:25
0,1944,02:31:50
0,1945,02:30:40
0,1946,02:29:27
0,1947,02:25:39
0,1948,02:31:02
0,1949,02:31:50
0,1950,02:32:39
0,1951,02:27:45
0,1952,02:31:53
0,1953,02:18:51
0,1954,02:20:39
0,1955,02:18:22
0,1956,02:14:14
0,1957,02:20:05
0,1958,02:25:54
0,1959,02:22:42
0,1960,02:20:54
0,1961,02:23:39
0,1962,02:23:48
0,1963,02:18:58
0,1964,02:19:59
0,1965,02:16:33
0,1966,02:17:11
0,1967,02:15:45
0,1968,02:22:17
0,1969,02:13:49
0,1970,02:10:30
0,1971,02:18:45
0,1972,02:15:39
0,1973,02:16:03
0,1974,02:13:39
0,1975,02:09:55
0,1976,02:20:19
0,1977,02:14:46
0,1978,02:10:13
0,1979,02:09:27
0,1980,02:12:11
0,1981,02:09:26
0,1982,02:08:52
0,1983,02:09:00
0,1984,02:10:34
0,1985,02:14:05
0,1986,02:07:51
0,1987,02:11:50
0,1988,02:08:43
0,1989,02:09:06
0,1990,02:08:19
0,1991,02:11:06
0,1992,02:08:14
0,1993,02:09:33
0,1994,02:07:15
0,1995,02:09:22
0,1996,02:09:15
0,1997,02:10:34
0,1998,02:07:34
0,1999,02:09:52
0,2000,02:09:47
0,2001,02:09:43
0,2002,02:09:02
0,2003,02:10:11
0,2004,02:10:37
0,2005,02:11:44
0,2006,02:07:14
0,2007,02:14:13
0,2008,02:07:45
0,2009,02:08:42
0,2010,02:05:52
0,2011,02:03:02
0,2012,02:12:40
0,2013,02:10:22
0,2014,02:08:37
0,2015,02:09:17
0,2016,02:12:45
0,2017,02:09:37
1,1966,03:21:40
1,1967,03:27:17
1,1968,03:30:00
1,1969,03:22:46
1,1970,03:05:07
1,1971,03:08:30
1,1972,03:10:26
1,1973,03:05:59
1,1974,02:47:11
1,1975,02:42:24
1,1976,02:47:10
1,1977,02:48:33
1,1978,02:44:52
1,1979,02:35:15
1,1980,02:34:28
1,1981,02:26:46
1,1982,02:29:33
1,1983,02:22:43
1,1984,02:29:28
1,1985,02:34:06
1,1986,02:24:55
1,1987,02:25:21
1,1988,02:24:30
1,1989,02:24:33
1,1990,02:25:24
1,1991,02:24:18
1,1992,02:23:43
1,1993,02:25:27
1,1994,02:21:45
1,1995,02:25:11
1,1996,02:27:12
1,1997,02:26:23
1,1998,02:23:21
1,1999,02:23:25
1,2000,02:26:11
1,2001,02:23:53
1,2002,02:20:43
1,2003,02:25:19
1,2004,02:24:27
1,2005,02:25:12
1,2006,02:23:38
1,2007,02:29:18
1,2008,02:25:25
1,2009,02:32:16
1,2010,02:26:11
1,2011,02:22:36
1,2012,02:31:50
1,2013,02:26:25
1,2014,02:18:57
1,2014,02:19:59
1,2015,02:24:55
1,2016,02:29:19
1,2017,02:21:52
